author,sum_art
Philippe Loustaunau,3
Torsten Minkwitz,3
Adel Bouhoula,5
Marian Mrozek,3
Greg Sidebottom,3
Jaroslav Jezek,5
Daniel J. Bernstein,4
Wilhelm Plesken,5
Bernd Souvignier,5
Christopher Lynch,6
Gunter Malle,4
Miguel Filgueiras,3
Adam W. Strzebonski,3
Hans Zantema,12
Herbert Kuchen,5
Joeri Engelfriet,11
Walter Whiteley,8
Henri Cohen,7
Francisco Diaz y Diaz,3
Michel Olivier,4
John Lawrence,3
Ronald Brown,3
John Pais,5
Gerald E. Peterson,3
Evelyne Contejean,3
Mark K. Goldberg,4
Gregor Kemper,3
Dominique Duval,5
Susumu Yamasaki,5
Jörg Denzinger,3
Stephan Schulz 0001,3
George F. McNulty,4
Fokko du Cloux,3
Laurence Puel,3
William M. Kantor,9
Kim S. Larsen,14
Lu Yang,5
Ibrahim A. I. Suleiman,3
Alexander Hulpke,3
Alex Kean,6
George K. Tsiknis,6
Shmuel Winograd,5
Jean-Luc Coquidé,3
Dimitri Leemans,4
Masashi Katsura,6
Yuji Kobayashi,6
Stéphane Collart,3
Daniel Mall,5
Koenraad De Bosschere,12
Jean-Marie Jacquet,5
Enno Ohlebusch,9
David B. A. Epstein,3
David W. Boyd,8
Alejandro Zarzo,3
Iván Area,3
Eduardo Godoy,3
Robert F. C. Walters,9
Marc Fuchs,3
Douglas B. West,43
Henry Crapo,3
Lajos Hajdu,4
Glenn R. Heppler,6
John Pedersen,4
Michael Stillman,3
Eugene M. Luks,4
David A. Wolfram,5
John S. Devitt,3
Ursula Martin,6
Uwe Egly,7
I. Dutour,3
David A. Basin,18
William C. Rounds,6
Catherine S. Greenhill,8
Alain Lascoux,8
Carla Limongelli,3
Mulan Liu,8
Panagiotis Alevizos,3
Mariette Yvinec,15
Satish R. Thatte,3
Peter van Emde Boas,5
Marc Garbey,10
Hans G. Kaper,5
Gary K. Leaf,3
B. J. Matkowsky,3
John R. Stembridge,5
Reinhard Bündgen,3
Wolfgang Küchlin,4
Beatrice Paternoster,3
Duncan Shand,3
Christian Krattenthaler,20
Michael Clausen,7
Georges Hansel,3
Matthew Dickerson,11
Eckhard Pflügel,3
Danielle Pelé,3
Sakae Okubo,6
Didier J. LeGall,5
Chaouki Diab,4
Rémy Prost,14
Robert Goutte,9
John J. Soraghan,6
Jyi-Chang Tsai,4
Chaur-Heh Hsieh,13
J. Skowronski,4
Zhou Wang,4
Yinglin Yu,3
Jiro Katto,6
Mutsumi Ohta,8
Sergio Cesare Brofferio,4
Euee S. Jang,3
Dae-Sung Cho,4
Hannes Hartenstein,4
Bertrand Chupeau,4
Pierrick Philippe,3
Frank Bosveld,3
Reginald L. Lagendijk,12
Jan Biemond,17
Nick G. Kingsbury,5
Thomas R. Fischer,26
Thomas Sikora,17
Jacek Nieweglowski,3
Petri Haavisto,5
Rob Koenen,9
Akihiko Sugiyama,4
H. B. Mitchell,16
Manfred Ziegler,3
Cesar A. Gonzales,8
Atilla Baskurt,6
Hugues Benoit-Cattin,4
Michael G. Strintzis,51
John F. Arnold,23
Hiroshi Yasuda,3
Oliver Werner,4
Philippe J. Tourtier,5
Costas S. Xydeas,3
Jianping Fan 0004,3
Fuxi Gan,3
Chuang Gu,3
Murat Kunt,25
Michael Hötter,4
Rudolf Mester,4
Frank Müller,5
Tim J. Dennis,3
Jong Beom Ra,8
Dimitrios Tzovaras,21
Nikos Grammalidis,5
Sotiris Malassiotis,11
Fernando Pereira 0001,15
Claude Labit,8
King N. Ngan,12
Lale Akarun,5
J. A. Dente,14
Rui Vilela Mendes,3
Andrew Lippman,6
Limin Wang,10
Rin-Chul Kim,13
Masuo Umemoto,3
Iole Moccagatta,4
L. Wu,4
Jenny Benois-Pineau,4
Dominique Barba,4
Mark R. Pickering,7
Michael C. Cavenor,5
W. Li,3
Ioannis Kompatsiaris,5
Stefano Tubaro,14
Zhen-Ya He,3
Paul Delogne,7
Béatrice Van Caillie,3
Moshe Israeli,14
François G. Meyer,4
Jean Menez,3
Josep R. Casas,4
Luis Torres,4
Chok-Ki Chan,5
Til Aach,10
André Kaup,8
Fabio Lavagetto,8
Sylvie Jeannin,3
Thumpudi Naveen,9
Ali J. Tabatabai,6
Klaus Stuhlmüller,3
Joachim Hagenauer,16
Naohisa Ohta,3
Peter H. Westerink,4
Bede Liu,17
Luc Vandendorpe,24
Benoît Maison,5
André Zaccarin,3
Günter Schamel,3
Leonardo Chiariglione,4
Mel W. Siegel,3
Eric Dubois 0002,15
Gerard de Haan,8
Christian Roux,14
Philip A. Chou,9
Carsten Herpel,5
Mario Cominetti,3
Alberto Morello,4
Monica Visintin,9
Alessandro Neri,13
Stefania Colonnese,3
Jin Liu 0001,5
Federico Pedersini,7
Augusto Sarti,10
Michel Pécot,4
John P. Oakley,9
Jian Zhang 0002,3
Wook Joong Kim,3
Jong Won Yi,3
Seong-Dae Kim,9
Gaetano Giunta,10
Jamshid Shanbehzadeh,3
Philip Ogunbona,4
Hae-Kwang Kim,4
Donald L. Duttweiler,3
Stephan Hartwig,3
A. Tanju Erdem,10
M. Ibrahim Sezan,20
Lai-Man Po,7
Laura Contin,3
David Malah,12
Jorma T. Virtamo,7
Jean-Pierre Leduc,10
Youngjik Lee,5
M. Ghanbari,7
Michael Paul Gough,8
Fei-Chin Chen,3
Jianhua Lu,4
Ming L. Liou,20
Khaled Ben Letaief,30
Justin C.-I. Chuang,18
Arnaud Jacquin,4
Geoffrey Morrison,3
Francesco G. B. De Natale,14
Patrick Brigger,5
Hyung Soon Kim,3
Martin Vetterli,56
Marc Moeneclaey,29
Mark Van Bladel,3
Gianfranco Cariolaro,6
Roberto Rinaldo,14
Luciano Tomba,9
Marco Mattavelli,7
Pauli Kuosmanen,10
Jaakko Astola,41
Whoi-Yul Kim,6
Yong-Sung Kim,3
Seung Jun Lee,5
Kyeong Ho Yang,6
Sven Ole Aase,4
Morris Goldberg,8
Joo-Hee Moon,4
Brian L. Evans,10
Siegmund Pastoor,3
Jean-Christophe Pesquet,11
Atul Puri,10
Rangarajan Aravind,3
Barry G. Haskell,12
Riccardo Leonardi,5
Kamil Metin Uz,6
Jens-Rainer Ohm,8
Bela Makai,5
Aljoscha Smolic,3
Gertjan Keesman,3
Touradj Ebrahimi,11
Kazunari Irie,5
Ryozo Kishimoto,5
Keang-Po Ho,7
Joseph M. Kahn,22
John R. Deller Jr.,8
Emile A. Hendriks,3
Ebroul Izquierdo,7
J. Jiang,6
Rosa Lancini,3
Ana B. Benitez,3
Seungyup Paek,3
Lawrence D. Bergman,5
Guang Deng,3
Hirohisa Jozawa,3
Masahisa Kawashima,4
Philippe Salembier,20
Peter J. L. van Beek,3
Farokh Marvasti,6
Ciro Cafforio,3
Fabio Bellifemine,6
Giuseppe Mastronardi,4
Vittorio Rampa,3
Eric Paquet,4
Anil M. Murching,3
Eric Viscito,3
Rodolfo Mann Pelz,4
K. K. Pang,3
Byeungwoo Jeon,7
Jechang Jeong,10
Bernd Edler,5
Timo Kaukoranta,6
Joachim Speidel,5
Masahiro Wada,4
Charilaos A. Christopoulos,3
Athanassios N. Skodras,5
Haibo Li 0001,6
Benoît Macq,14
Marta Karczewicz,3
Paul M. Antoszczyszyn,3
John M. Hannah,4
Yücel Yemez,3
Emin Anarim,8
Guido M. Schuster,7
Guy Côté,5
Noel Brady,3
Frank Bossen,5
Kuntal Sengupta,3
R. Simon Sherratt,3
Nikos Paragios,3
George Tziritas,3
Christophe De Vleeschouwer,5
Chee Sun Won,6
P. Anandan,4
Rakesh Kumar 0001,4
Steven C. Hsu,4
Fernand Meyer,11
Hitomi Murakami,4
Peter Kauff,3
Hiroshi Sakai,3
Yu-Chen Hu,3
Andrew J. Patti,4
Jan de Lameillieure,4
Tomonori Aoyama,4
Kostas N. Plataniotis,3
Sze-Fong Yau,11
Panos Nasiopoulos,3
Rabab K. Ward,6
Dimitrios P. Bouras,4
P. Takis Mathiopoulos,9
Neal R. Harvey,3
Stephen Marshall,6
Paul W. A. C. Biezen,4
Konstantinos N. Plataniotis,10
Maurice G. Bellanger,14
Kuriacose Joseph,9
Joel W. Zdepski,7
Leszek Rutkowski,3
Jean-Luc Dugelay,5
Dimitrios Androutsos,8
James Ching-Yu Yang,3
Bing-Fei Wu,8
Cheng-Tie Chen,8
Fure-Ching Jeng,5
Giovanni Poggi,12
Christophe Odet,4
Marcel Breeuwer,3
Joon-Seek Kim,6
Eric Petajan,3
Ömer Nezih Gerek,5
A. Enis Çetin,15
Huifang Sun,7
Juan Francisco Gómez-Lopera,3
Pedro Luis Luque-Escamilla,3
José Martínez-Aroza,6
Tae-Yong Kim,3
Byeong-Hee Roh,3
Jianmin Jiang,4
Bernard Mulgrew,25
Lew B. Stelmach,3
Peter H. N. de With,7
Jelena Kovacevic,18
Mario Guglielmo,3
Paul A. Schaefer,4
Ignace Bruyland,6
Zhaohui Sun,3
Stefano Baronti,9
Andrea Casini,3
Franco Lotti,5
Luciano Alparone,15
Ferran Marqués,7
Antoni Gasull,4
Jacques Palicot,3
Hayder Radha,4
Vassilis Seferidis,5
JongWon Kim 0001,5
C.-C. Jay Kuo,42
Xiao-Hu Yu,5
Christine Guillemot,4
Patrick Corlay,3
Janusz Konrad,10
Jong Won Kim,3
Khaled Fazel,7
Patrick Robertson,7
Giancarlo Calvagno,10
Masoud R. K. Khansari,9
Vasudev Bhaskaran,12
Po-Chiang Lu,5
John Nunn,7
Dennis M. Breuker,7
L. Victor Allis,6
H. Jaap van den Herik,41
I. S. Herschberg,14
Bob Herschberg,31
Jaap van den Herik,41
G. McC. Haworth,6
Ernst A. Heinz,14
Alex J. de Voogt,4
Torbjörn Jansson,4
Hans Pahlén,3
Cock de Gorter,16
B. Verbaan,5
Don Beal,15
Wilhelm Barth,10
Donald F. Beal,24
Thoralf Karlsson,38
Göran Grottling,27
Jan van Reek,4
Dap Hartmann,16
Robert M. Hyatt,6
David N. L. Levy,39
Monty Newborn,14
Hans J. Berliner,10
Lewis Stiller,8
Peter J. Jansen,4
Michael Buro,11
Martin C. Smith,6
Christian Posthoff,5
Michael Schlosser 0002,4
Theo van der Storm,6
Tony Marsland,9
Andreas Junghanns,5
Ken Thompson,13
T. Anthony Marsland,22
Ulf Lorenz,8
Wim Pijls,5
Arie de Bruin,5
Steven J. Edwards,3
Jos W. H. M. Uiterwijk,21
Mike Valvo,9
Yasser Seirawan,3
Jos Uiterwijk,10
Mathias Feist,4
John Roycroft,3
Reijer Grimbergen,5
Hermann Kaindl,21
Gerhard Kainz,3
Matthew L. Ginsberg,14
Yngvi Björnsson,8
Hiroyuki Iida,18
Frederic Friedel,14
Bradley C. Kuszmaul,5
Alan T. Sherman,10
Atsushi Yoshikawa 0002,4
The Board of ICCA,6
Daniel C. Dennett,5
Jan Louwman,7
Christoph Wirth,3
Jacques Pitrat,3
Danny Kopec,9
Valentin Rottmann,4
Adrianus Dingeman de Groot,3
Bernhard Balkenhol,3
I. J. Good,4
Robert Lake,4
Paul Lu,8
Norman Treloar,4
Jean-Christophe Weill,3
Mark Ginsburg,5
Brian Gosling,3
Feng-hsiung Hsu,4
Aske Plaat,6
Lev Finkelstein,3
H. K. Tsang,3
Murray Campbell,4
Mark G. Brockington,4
Richard E. Korf,18
Makoto Sakuta,3
Ambros Marzetta,5
Wlodek Proskurowski,4
Steven Walczak,11
David E. Wilkins,8
Dennis DeCoste,3
Mark Levene,29
Claude G. Diderich,3
Anton Scheucher,3
David Carmel,5
Kevin J. Lang,4
Trevor I. Fenner,5
P. P. Chakrabarti,22
S. C. De Sarkar,14
Marc Gengler,3
John McCarthy 0001,13
Edward A. Feigenbaum,10
Giancarlo Succi,13
Andrea Valerio,5
Tullio Vernazza,5
Shukri A. Wakid,3
David S. Pallett,3
Carl Cargill,16
John M. Favaro,3
Warwick Ford,3
Christopher T. Haynes,3
James W. Moore,8
Irfan Pyarali,4
Brian L. Meek,8
Charles R. McClure,6
Glenn Adams,3
Jeff Sutherland,4
Anthony M. Rutkowski,4
Carl F. Cargill,3
Dave Crocker,15
John A. Sauter,3
Patricia A. Billingsley,3
Richard Mark Soley,3
Leonard L. Tripp,5
Paolo Predonzani,4
Thilo C. Horstmann,3
Sankar Virdhagriswaran,3
F. D. Wright,3
Henry Lowe,3
Andrew P. Snow,3
Gordon Lyon,5
Stephen T. Kent,10
Scott A. Isaacson,4
David C. Wood,3
Judith A. Slein,3
David G. Durand,8
Yin-Feng Xu,6
Giri Kumar Tayi,8
Lawrence R. Weatherford,3
Cao An Wang,14
Vadim G. Timkovsky,5
Tsan-sheng Hsu,11
Zhongfan Ma,4
Giuseppe Lancia,4
Paolo Serafini,3
Anthony J. Macula,7
Gang Yu,15
Olivier Goldschmidt,14
Joachim Gudmundsson,3
Christos Levcopoulos,22
Marcus Brazil,7
Jia F. Weng,9
Mohamed Haouari,4
Gerard J. Chang,47
Bin Wu,3
Bang Ye Wu,8
Zeev Nutov,6
Tom Head,6
Dennis F. X. Mathaisel,3
Etienne de Klerk,6
Zhi-Li Zhang,11
Milind Dawande,5
Jayant Kalagnanam,6
Pinar Keskinocak,3
R. Ravi 0001,24
Xiufeng Du,3
J. Hyam Rubinstein,12
Peng-Jun Wan,11
Jonathan F. Bard,16
Isaac Saias,6
Keqin Li,12
Mauro Dell'Amico,18
Silvano Martello,19
Bo-Ting Yang,4
Binhai Zhu,17
Sheng-Chyang Liaw,4
Randeep Bhatia,4
Sudipto Guha,7
Yoram J. Sussmann,5
Zhaohui Liu,3
Wenci Yu,4
Rex K. Kincaid,9
T. Cole,4
Leszek Gasieniec,16
Sven Oliver Krumke,9
Madhav V. Marathe,26
Hartmut Noltemeier,9
Brian Borchers,4
Bin Ma,5
Bettina Klinz,9
Lingling Huang,5
Rimma I. Podlovchenko,3
Leonid A. Kalinichenko,5
Mikhail R. Kogalovsky,3
I. B. Virbitskaite,3
Alexey L. Lastovetsky,5
Alexey Kalinov,3
Igor S. Nekrestyanov,3
Daniel Krob,16
Jinde Cao,4
Yechezkel Zalcstein,4
Nadia Creignou,8
Elias Dahlhaus,18
Tadakazu Sato,5
Santosh Vempala,8
Raimund Seidel,22
Ray J. Solomonoff,3
Marianne Baudinet,3
Donald B. Johnson,10
Larry Raab,3
John D. Rogers,4
Ashok K. Chandra,5
Daniel P. Bovet,6
Saïd Bettayeb,10
Mark A. Fulk,7
J. Ian Munro,13
Michelangelo Grigni,6
Michael Sipser,7
Marco Cadoli,20
Gruia Calinescu,4
Bruno Durand,6
Pankaj Rohatgi,10
Robin W. Whitty,17
Li-Yan Yuan,15
Nicholas Q. Trân,9
Tatsuaki Okamoto,4
Simona Ronchi Della Rocca,10
Prasad Chalasani,7
Albrecht Hoene,8
Michael Luby,26
Torben Hagerup,28
Naomi Nishimura,11
Prabhakar Ragde,11
Jeff Erickson 0001,12
Gabriel M. Kuper,6
Peter Z. Revesz,8
Tak Wah Lam,13
Thomas Herbst,4
Froduald Kabanza,5
László Babai,22
Z. Sweedyk,3
Nicoletta De Francesco,13
Antonella Santone,8
Gigliola Vaglini,7
Changho Seo,3
Carlo Meghini,4
Costantino Thanos,3
Martin Tompa,11
Richard Helm,4
Axel Poigné,4
David E. Muller,5
Gottfried Vossen,19
Linda Heyker,4
Angelo Monti,12
Gösta Grahne,8
Esko Ukkonen,13
Klaus-Uwe Höffgen,5
Omer Berkman,12
Narayanan Krishnakumar,5
Mariano P. Consens,5
Kumar V. Vadaparty,16
Michael G. Main,7
George Leih,4
Klaus Sutner,11
Arvind Raghunathan,5
Ganesh Baliga,6
Changwook Kim,10
Suresh Chari,6
Etienne Grandjean,7
Nick Reingold,10
Daniel A. Spielman,7
Oded Maler,7
Grant E. Weddell,4
János Komlós,14
Sanjeev Saluja,6
Madhukar N. Thakur,4
Rakesh K. Sinha,8
Adi Rosén,9
Jeff Kahn,20
Jeong Han Kim,12
Gabriel Thierrin,10
Sumit Ganguly,3
Sergio Greco,13
Francine Blanchet-Sadri,11
Theodore A. Slaman,21
Sabine Stifter,4
Christel Baier,17
Mila E. Majster-Cederbaum,14
Jia-Huai You,14
Chia-Mei Chen,3
Takeshi Tokuyama,19
Sanjay Jain,8
Egidio Astesiano,8
Elena Zucca,7
Ramesh Hariharan,7
Johann Blieberger,7
Arne Andersson,18
Stefan Nilsson,5
Rajeev Raman,11
Leonid Gurvits,7
Andreas Goerdt,7
Karl Meinke,5
Dror Lapidot,3
Juha Kortelainen,5
Farrokh Vatan,5
Yaacov Yesha,9
Dirk Janssens,4
Flavio Corradini,13
Anna Labella,7
Christopher D. Rosin,3
Andreas Alexander Albrecht,4
Xin Wang 0009,5
Edward K. Blum,6
Bruce M. Kapron,6
Lucian Ilie,20
Mauricio Karchmer,6
Ravi Krishnamurthy,9
Oded Shmueli,17
Huei-Jan Shyr,9
Jirí Adámek,11
Jan Reiterman,4
Michael A. Langston,18
Peter Widmayer,15
Yiftach Ravid,5
Marshall W. Bern,33
Amir Dembo,8
András Hajnal,8
Taishin Y. Nishida,5
Youichi Kobuchi,6
Luc Longpré,22
Paul Young,6
Rodney R. Howell,10
Louis E. Rosier,11
Richard Cole 0001,16
Ofer Zajicek,3
Leong Kwan Li,3
Vitit Kantabutra,8
Anthony LaMarca,7
Domenico Saccà,15
Vincent van Oostrom,9
Gyora M. Benedek,4
Samuel R. Buss,22
Stephen J. Hegner,5
Rakesh Vohra,5
Persi Diaconis,8
Laurent Saloff-Coste,3
Ravi S. Sandhu,30
Yuval Ishai,4
Sairam Subramanian,5
Johannes A. La Poutré,6
John Watrous,6
Jun'ichi Takeuchi,3
Jean R. S. Blair,7
Jean Berstel,14
Takao Asano,3
Jörg Desel,9
Javier Esparza,20
John L. Bruno,5
Shao C. Fang,4
Tzong-An Su,3
Yuri Rabinovich,8
Paul F. Dietz,5
Donald K. Friesen,4
Antonio Bahamonde,6
Hesham H. Ali,7
Hesham El-Rewini,17
Gheorghe Antonoiu,4
József Békési,4
Gábor Galambos,14
Petr Jancar,11
Faron Moller,10
Liming Cai,8
Mahendran Velauthapillai,8
Rolf Wiehagen,11
Thanasis Hadzilacos,5
Gavin J. Gibson,5
Sivan Toledo,10
Rolf Fagerberg,3
Kousha Etessami,5
Deborah Joseph,7
Lydia E. Kavraki,12
Eddy Fromentin,4
Juris Hartmanis,15
Javed A. Aslam,4
Jorma Rissanen,12
Kazuhisa Makino,15
Jeff Edmonds,7
Bob P. Weems,3
Arkady Kanevsky,8
Mihály Geréb-Graus,4
Nick Littlestone,7
Edil S. T. Fernandes,4
Dieter Welzel,4
Songchun Moon,32
Peter Milligan,7
R. K. McConnell,6
Lonnie R. Welch,20
Alessandra Costa,4
Salvatore Orlando 0001,7
Renata Napolitano,3
Andrea Boni,4
D. Q. M. Fay,4
Gerhard Chroust,4
Minsuk Lee,4
Nicolas Demassieux,3
Eugenio Villar,4
Santiago Rodríguez,3
Gianfranco Ciccarella,4
Henryk Krawczyk,5
Petros Kefalas,4
Hans Eberle,3
Daniel Mozos,4
Kayhan Erciyes,4
Qing Song 0001,7
Andreas A. Veglis,5
Andreas S. Pombortsis,11
David A. Sanders,7
Byeong Man Kim,4
Gianluca Tempesti,4
Daniel Mange,9
André Stauffer,6
Franck Cappello,4
Felix Pérez,4
Jesús Carretero,6
Francisco García 0001,4
Pedro de Miguel,6
L. Alonso,4
Miroslav Svéda,5
Giovanni Dimauro,7
Sebastiano Impedovo,7
Giuseppe Pirlo,7
Erik Maehle,4
Nabanita Das,6
Jayasree Dattagupta,7
Zdenek Blazek,3
Iztok Savnik,6
Tomaz Mohoric,4
Wen-Tsung Chang,4
S. A. Rea,3
Ignacio Aedo,8
Fivos Panetsos,4
Edwige E. Pissaloux,4
Paul J. M. Havinga,4
Gerard J. M. Smit,4
Chouki Aktouf,4
Chantal Robach,6
Guy Mazaré,4
Haengrae Cho,6
Giacomo Cabri,4
Wen-Shyong Hsieh,5
Andrea Clematis,11
Gordon B. Steven,6
Fleur L. Steven,3
Wojciech Cellary,3
Waldemar Wieczerzycki,6
Domingo Giménez,3
José C. Cunha,4
João Lourenço,3
Thomas M. Warschko,4
Evaggelinos P. Mariatos,3
William Fornaciari,9
Cristina Silvano,4
Luis Gómez,3
Antonio Hernández,3
Antonio Núñez,6
Ivan Rozman,10
Dajin Wang,6
Bala Srinivasan 0002,7
George-Peter K. Economou,4
Dimitris K. Lymberopoulos,5
Jung-Ho Ahn 0001,4
Sang-Won Lee 0001,3
Ha-Joo Song,3
Hyoung-Joo Kim,12
David M. Howard 0001,5
Y. M. Tsai,3
Pasi Kolinummi,3
Pasi Kuvaja,4
Joao Paulo Kitajima,3
Pascal Bouvry,3
Marco Avvenuti,3
Luigi Rizzo,8
Lorenzo Vicisano,5
Helnye Azaria,4
Olivier Pasquier,4
Jean Paul Calvez,6
Stavros D. Nikolopoulos,11
R. Venugopal,5
Y. N. Srikant,14
Uwe Kastens,3
Tarek A. El-Ghazawi,3
Heping He,3
Arjan J. C. van Gemund,3
Daniel F. García,3
Sung-Bong Yang,5
Jinho Kim,3
Stephen P. Wilson,3
Kwei-Jay Lin,16
Kevin B. Kenny,4
Gail-Joon Ahn,3
Haridimos T. Vergos,3
Klaus Waldschmidt,7
Shin-Dug Kim,13
Ernesto F. V. Martins,3
António Nunes da Cruz,3
Miroslaw Thor,3
Djamshid Tavangarian,8
Cristiana Bolchini,5
Luciano Baresi,3
Freddy Gabbay,3
Winfried Kalfa,3
Nicola Mazzocca,13
Stefano Russo,10
Valeria Vittorini,4
Marjeta Pucko,5
Monika Kapus-Kolar,7
Joze Rugelj,3
Werner Grass,5
René Elmstrøm,6
Poul Bøgh Lassen,3
François Spies,4
Laurence Tianruo Yang,5
Kam-Wing Ng,6
C. K. Luk,3
Joonwon Lee,4
Sudipta Mahapatra,5
Rabi N. Mahapatra,10
Heung-Kyu Lee,9
Carlo Bellettini,3
Tomás F. Pena,5
Michael L. Nelson,13
C. Edmond Prakash,3
Jovan Djordjevic,4
Milo Tomasevic,9
Miroslav Bojovic,3
Jeong-Ki Kim,3
Jae-Woo Chang,4
Milorad B. Tosic,4
Goran Lj. Djordjevic,4
N. Vivekananda,3
Stefanos Kaxiras,3
F. Moreno,3
P. K. Das,4
Siddhartha Bhattacharyya,5
S. Arunkumar,5
Felicita Di Giandomenico,5
Elmar U. K. Melcher,3
Michel Dana,3
Pradip K. Das,3
Gorazd Kandus,5
Rod Adams,6
Janet Little,3
M. R. Woodward,3
Mariam Kamkar,5
Inés del Campo,3
José Manuel Tarela,3
Constantinos V. Papadopoulos,4
Achilles Kameas,6
Stergios Papadimitriou,7
Jean-Luc Béchennec,3
Daniel Etiemble,3
Bob Dickerson,3
Martin Loomes,4
Vjekoslav Sinkovic,3
Ignac Lovrek,3
Danny Crookes,5
Cruz Izu,4
Ramón Beivide,6
Chris R. Jesshope,7
Agustin Arruabarrena,7
Hai Jin 0001,6
Kwok-Wa Lam,5
George R. Ribeiro-Justo,5
Peter M. Kogge,3
Antonio M. Vidal,4
Gianluigi Alari,3
Augusto Ciuffoletti,4
Doug Burger,7
Harold W. Lawson,11
Theodore Antonakopoulos,5
Vassilios Makios,6
Seok-Hee Hong,3
Karl-Erwin Grosspietsch,6
Kari Pehkonen,3
Inhwan Jung,3
Jonghyun Lee,3
John G. Vaughan,5
Andreas M. Maras,7
Ramalingam Sridhar,4
Lian-Jou Tsai,3
Shang-Rong Tsai,7
Juan M. Meneses,3
Hoon Chang,3
A. J. W. M. ten Berg,3
Robert J. Stroud,5
Mohammed Fadle Abdulla,3
Sergio Arévalo,3
Hyojeong Song,3
Boseob Kwon,3
C. A. R. Hoare,14
Ferenc Vajda,4
Janusz Sosnowski,3
Albert Koelmans,6
Ming Fang,7
Sang-Koo Seo,3
Young-Sik Kim,6
Arthur I. Karshmer,4
Sukhoon Kang,4
José Miguel-Alonso,3
Jacques Chassin de Kergommeaux,7
David R. Kaeli,14
Philip G. Emma,3
Jordi Carrabina,3
Jae Soo Yoo,3
Z. Fazekas,4
Kees M. van Hee,4
Alexander Reinefeld,12
Jörn Gehring,6
Matthias Brune,5
Tack-Don Han,9
Massimo Bartolucci,3
Giacomo R. Sechi,4
Lawrence Jenkins,3
Miroslaw Malek,8
W. F. Wong,3
Daniel Tabak,5
Katalin Tarnay,3
Alfonso García-Cerezo,4
Juan Hernández Núñez,3
Anna Tatsaki,3
Costas E. Goutis,5
Michel Dauphin,4
Giacomo Buonanno,7
Michel Gastaldo,4
Rached Tourki,3
Doheon Lee,4
S. K. Basu,3
Oh-Young Kwon,3
Jang-Suk Park,3
Veselko Gustin,3
Harri Klapuri,5
Jelica Protic,3
Branko Soucek,3
Wolfgang Ecker,4
Izidor Jerebic,4
Péter Kacsuk,21
Mark Royals,3
Nick Kanopoulos,12
Ragunathan Rajkumar,6
Jaehyun Park,6
A. T. M. Shafiqul Khalid,3
Abdul Ahad S. Awwal,3
Richard J. Mitchell,4
Krishnendu Mukhopadhyaya,7
Petri Pulli,5
Ji-Yun Kim,3
Tatjana Kapus,4
Mats Larsson,3
Samia Loucif,4
Eike Best,11
Roger D. Hersch,14
Gábor Dózsa,6
Tibor Fadgyas,5
Sibabrata Ray,4
Hong Jiang,12
Fethi A. Rabhi,4
Chrissavgi Dre,3
Rafael Asenjo,3
Srilata Raman,6
Reiner W. Hartenstein,7
Jan C. Vorbrüggen,3
Toshinori Sato,3
Ammar Attoui,3
Gul A. Agha,6
Yingfeng Oh,4
Elena Pagani,4
Gian Paolo Rossi 0001,4
Bertil Svensson,5
Anastasios Bezerianos,5
Dezsö Sima,3
Werner Damm,3
Sam H. Noh,3
Gábor Németh,3
Petru Eles,4
JaeHo Jeon,3
Pradip Bose,7
Sunil Kim,3
Jan van Katwijk,9
Montse Peiron,4
Eddy de Greef,3
Francis Jutand,3
József Györkös,4
G. A. King,3
Massimo Bombana,3
Muhammet Fikret Ercan,3
Yu-Fai Fung,3
Amos R. Omondi,3
Mark d'Inverno,6
A. Giordano,3
István Majzik,3
Jinseok Kong,3
Nasser Kalantery,3
Evgenia Smirni,7
Emilia Rosti,5
Prasenjit Biswas,4
Mehmet Hakan Karaata,6
Andrew Citron,3
G. Colombina,3
Ken Goldberg,5
Gianmarco Veruggio,5
Riccardo Bono,3
Tarek M. Sobh,14
Jonathan C. Owen,5
Kimon P. Valavanis,34
Denis Gracanin,5
Vincent Rigaud,3
Ève Coste-Manière,5
Penny J. Probert,4
Michel Perrier,4
Daniel Simon,7
Mike J. Chantler,4
Louis J. Everett,9
Aníbal Ollero,9
George N. Saridis,22
Richard Gourdeau,5
Homayoun Seraji,25
Mark K. Long,5
Nikolaos Fahantidis,3
Zoe Doulgeri,6
Song K. Choi,4
Junku Yuh,6
Rachid Alami,3
Sara Fleury,3
Susan N. Gottschlich,5
John S. Bay,7
Frank K. Soong,6
Giuseppe Conte,15
Francesco Mondada,7
Chris A. Czarnecki,3
Umberto Cugini,3
Guillermo Rodríguez,11
Bradley J. Nelson,8
H. Benjamin Brown Jr.,4
John T. Feddema,5
J. M. Bishop,3
D. Koutsouris,3
David B. Lavery,3
Peter I. Corke,9
Luca Ferrarini,5
Barney Dalton,3
Ken Taylor,3
Joshua R. Smith,4
Theo Pavlidis,8
Hagen Schempf,3
James L. Wayman,3
Harry H. Cheng,6
Nikos Tsourveloudis,6
Zvi S. Roth,15
Kostas J. Kyriakopoulos,13
Jean-Guy Fontaine,5
Pablo González de Santos,7
Musa Jouaneh,6
Ramesh Kolluru,6
Emilio J. González-Galván,3
Steven B. Skaar,6
Jürgen Ackermann,8
Pedro U. Lima,3
Manuel A. Armada,3
María Antonia Jiménez,6
Harry Berghuis,4
Jill D. Crisman,5
Krzysztof Kozlowski,4
Massimo Caccia,4
Dirk Schulz 0001,5
Richard Goodwin,4
