author,sum_art
Michael Siegel,10
Sang Hyuk Son,23
Martin Dillon,3
Philippe Richard,4
Gary H. Sockut,5
Balakrishna R. Iyer,4
Achim Kraiss,3
Darrell Woelk,7
Jeffrey F. Naughton,19
Paul W. P. J. Grefen,7
Peter M. G. Apers,9
Alfons Kemper,23
Gennady Antoshenkov,3
Shamkant B. Navathe,19
Sergey Brin,4
Lawrence Page,3
Terry Winograd,14
Jaideep Srivastava,28
Michael Rabinovich,4
John V. Carlis,4
Giansalvatore Mecca,8
Paolo Atzeni,17
Susan B. Davidson,11
Ling Liu 0001,7
Christine Tomlinson,3
Paul C. Attie,7
Philip Cannata,6
Munindar P. Singh,46
Stella Gatziu,4
Klaus R. Dittrich,14
Eben M. Haber,3
Odysseas G. Tsatalos,3
Janet L. Wiener,5
Leonard J. Seligman,8
Terence R. Smith,14
Jianwen Su,19
Anant Jhingran,7
Sriram Padmanabhan,4
William DuMouchel,5
Peter J. Haas,6
Raymond T. Ng,25
Kenneth A. Ross,21
Kenneth C. Sevcik,13
Eui-Hong Han,6
George Karypis,15
Vipin Kumar,36
Bamshad Mobasher,8
Avi Wigderson,55
Joseph Cheriyan,12
Ramakrishna Thurimella,11
Paul Beame,19
Michael E. Saks,27
Jayram S. Thathachar,3
Daniele Micciancio,9
David A. Mix Barrington,16
Miklós Ajtai,15
Noam Nisan,36
Marek Karpinski,70
Alexander Zelikovsky,15
Yongge Wang,8
Bernd Borchert,12
Lane A. Hemaspaandra,82
Jörg Rothe,31
Oleg Verbitsky,5
Meena Mahajan,15
V. Vinay,10
Eldar Fischer,8
Eli Biham,9
Dan Boneh,6
Omer Reingold,11
Detlef Sieling,15
Ran Canetti,22
Oded Goldreich 0001,108
Shafi Goldwasser,25
Silvio Micali,17
Prahladh Harsha,3
Madhu Sudan,47
Alexander A. Razborov,24
Steven Rudich,12
Wolfgang Maass 0001,44
Berthold Ruf,6
Uri Zwick,29
Mike Paterson,28
Russell Impagliazzo,18
Beate Bollig,14
Ingo Wegener,51
Petr Savický,25
Stanislav Zák,6
Kenneth W. Regan,15
D. Sivakumar,8
Jin-yi Cai,37
Martin Sauerhoff,13
Ralph Werchner,9
Luca Trevisan,34
Alexander E. Andreev,13
Andrea E. F. Clementi,20
José D. P. Rolim,22
Marco Cesati,6
Ulrich Faigle,33
Walter Kern,31
M. Streng,3
Thomas Thierauf,17
Hans-Joachim Böckenhauer,3
Juraj Hromkovic,33
Ralf Klasing,12
Sebastian Seibert,5
Walter Unger,8
Rafail Ostrovsky,17
Erez Petrank,16
Johan Håstad,34
Mats Näslund,4
Tomoyuki Yamakami,13
Toniann Pitassi,15
Shiyu Zhou,8
Nicola Galesi,5
Ricard Gavaldà,15
Wojciech Rytter,36
Ayumi Shinohara,7
Shai Halevi,16
Sanjeev Arora,9
Uriel Feige,27
Claus-Peter Schnorr,16
Martin Strauss 0001,9
Vikraman Arvind,19
Johannes Köbler,16
Nader H. Bshouty,46
Jeffrey C. Jackson,5
Christino Tamon,9
