source,target
Klaus Jansen,Ton Kloks
Klaus Jansen,Zsolt Tuza
Hans L. Bodlaender,Jitender S. Deogun
Hans L. Bodlaender,Haiko Müller
Hans L. Bodlaender,Dieter Kratsch
Hans L. Bodlaender,Ton Kloks
Hans L. Bodlaender,Zsolt Tuza
Jitender S. Deogun,Haiko Müller
Jitender S. Deogun,Dieter Kratsch
Jitender S. Deogun,Ton Kloks
Jitender S. Deogun,Zsolt Tuza
Haiko Müller,Dieter Kratsch
Haiko Müller,Ton Kloks
Haiko Müller,Zsolt Tuza
Dieter Kratsch,Ton Kloks
Dieter Kratsch,Zsolt Tuza
Ton Kloks,Zsolt Tuza
Alexander Kaplan,Rainer Tichatschke
Rainer Tichatschke,E. Levitin
Dieter Baum,Luciano Lenzini
Carsten Damm,Stasys Jukna
Carsten Damm,Jirí Sgall
Stasys Jukna,Jirí Sgall
Carsten Damm,Markus Holzer 0001
Carsten Damm,Peter Rossmanith
Markus Holzer 0001,Peter Rossmanith
Carsten Damm,Anna Bernasconi 0001
Carsten Damm,Igor E. Shparlinski
Anna Bernasconi 0001,Igor E. Shparlinski
Carsten Damm,Pierre McKenzie
Markus Holzer 0001,Pierre McKenzie
Fabio Somenzi,Enrico Macii
Fabio Somenzi,Bernard Plessier
Enrico Macii,Bernard Plessier
Fabio Somenzi,Hyunwoo Cho
Fabio Somenzi,Gary D. Hachtel
Hyunwoo Cho,Gary D. Hachtel
Fabio Somenzi,Majid Sarrafzadeh
Fabio Somenzi,Melvin A. Breuer
Majid Sarrafzadeh,Melvin A. Breuer
Fabio Somenzi,R. Iris Bahar
Enrico Macii,Hyunwoo Cho
Enrico Macii,Gary D. Hachtel
Enrico Macii,R. Iris Bahar
Hyunwoo Cho,R. Iris Bahar
Gary D. Hachtel,R. Iris Bahar
Bernard Plessier,Hyunwoo Cho
Bernard Plessier,Gary D. Hachtel
Fabio Somenzi,Massimo Poncino
Enrico Macii,Massimo Poncino
Massimo Poncino,Hyunwoo Cho
Massimo Poncino,Gary D. Hachtel
Fabio Somenzi,Massoud Pedram
Massoud Pedram,Enrico Macii
Fabio Somenzi,Michele Favalli
Fabio Somenzi,Piero Olivo
Fabio Somenzi,Bruno Riccò
Michele Favalli,Piero Olivo
Michele Favalli,Bruno Riccò
Piero Olivo,Bruno Riccò
Fabio Somenzi,Carl Pixley
Carl Pixley,Hyunwoo Cho
Fabio Somenzi,Shin-ichi Minato
Klaus Lux,Markus Wiegelmann
Klaus Lux,Jürgen Müller 0004
Klaus Lux,Gerhard Hiss
Gerhard Hiss,Jürgen Müller 0004
Klaus Lux,Leonard H. Soicher
Klaus Lux,Gene Cooperman
Gene Cooperman,Gerhard Hiss
Gene Cooperman,Jürgen Müller 0004
Klaus Lux,Gábor Ivanyos
Markus Wiegelmann,Bernd Sturmfels
Markus Wiegelmann,Peter Gritzmann
Markus Wiegelmann,Dieter Prangenberg
Peter Gritzmann,Dieter Prangenberg
